city,country_code,time,precipitation_sum,wind_speed_10m_max,temperature_2m_max
sao paulo,BR,2018-01-20,13.2,18.7,27.7
sao paulo,BR,2018-01-21,4.3,14.3,28.6
sao paulo,BR,2018-01-22,3.9,11.6,29.6
sao paulo,BR,2018-01-23,1.6,11.9,31.0
sao paulo,BR,2018-01-24,23.4,9.3,28.9
sao paulo,BR,2018-01-25,3.5,22.0,27.3
sao paulo,BR,2018-01-26,1.6,23.0,22.5
sao paulo,BR,2018-01-27,0.3,22.9,23.0
sao paulo,BR,2018-01-28,7.0,15.0,28.1
sao paulo,BR,2018-01-29,14.5,18.9,26.0
sao paulo,BR,2018-01-30,8.5,15.3,21.0
sao paulo,BR,2018-01-31,0.8,20.2,23.0
sao paulo,BR,2018-02-01,0.4,22.7,24.6
sao paulo,BR,2018-02-02,0.4,20.3,26.2
sao paulo,BR,2018-02-03,1.2,25.4,23.3
sao paulo,BR,2018-02-04,0.5,22.9,24.1
sao paulo,BR,2018-02-05,0.7,22.0,23.6
sao paulo,BR,2018-02-06,2.3,16.1,22.7
sao paulo,BR,2018-02-07,0.1,17.6,26.3
sao paulo,BR,2018-02-08,0.0,14.8,27.7
sao paulo,BR,2018-02-09,0.0,16.6,29.8
sao paulo,BR,2018-02-10,4.0,15.5,28.0
sao paulo,BR,2018-02-11,0.6,9.4,29.0
sao paulo,BR,2018-02-12,4.2,19.8,28.6
sao paulo,BR,2018-02-13,3.2,23.0,20.2
sao paulo,BR,2018-02-14,7.0,18.9,21.1
sao paulo,BR,2018-02-15,2.5,21.8,23.8
sao paulo,BR,2018-02-16,0.9,20.1,22.8
sao paulo,BR,2018-02-17,1.7,18.2,24.1
sao paulo,BR,2018-02-18,5.0,14.3,22.9
sao paulo,BR,2018-02-19,1.9,19.1,25.7
sao paulo,BR,2018-02-20,1.1,26.5,25.9
sao paulo,BR,2018-02-21,1.5,22.7,27.0
sao paulo,BR,2018-02-22,1.3,14.9,27.1
sao paulo,BR,2018-02-23,4.6,20.4,24.1
sao paulo,BR,2018-02-24,1.2,23.2,25.3
sao paulo,BR,2018-02-25,0.6,21.4,24.3
sao paulo,BR,2018-02-26,15.9,13.2,24.3
sao paulo,BR,2018-02-27,2.3,16.6,25.1
sao paulo,BR,2018-02-28,0.1,20.0,28.4
sao paulo,BR,2018-03-01,3.6,13.9,28.0
sao paulo,BR,2018-03-02,1.8,14.4,29.2
sao paulo,BR,2018-03-03,1.6,14.9,26.4
sao paulo,BR,2018-03-04,8.1,14.2,27.2
sao paulo,BR,2018-03-05,3.1,16.4,27.9
sao paulo,BR,2018-03-06,1.5,18.4,28.3
sao paulo,BR,2018-03-07,12.8,22.4,26.6
sao paulo,BR,2018-03-08,1.3,22.1,23.5
sao paulo,BR,2018-03-09,0.8,19.2,24.6
sao paulo,BR,2018-03-10,17.6,18.0,25.6
sao paulo,BR,2018-03-11,0.0,12.4,27.1
sao paulo,BR,2018-03-12,0.0,17.1,28.7
sao paulo,BR,2018-03-13,1.8,13.8,26.4
sao paulo,BR,2018-03-14,14.0,18.0,30.0
sao paulo,BR,2018-03-15,3.8,21.1,29.1
sao paulo,BR,2018-03-16,0.8,15.8,28.2
sao paulo,BR,2018-03-17,1.5,18.6,26.2
sao paulo,BR,2018-03-18,0.0,18.5,28.3
sao paulo,BR,2018-03-19,0.1,13.8,29.5
sao paulo,BR,2018-03-20,4.5,11.8,28.9
sao paulo,BR,2018-03-21,2.4,22.7,26.4
sao paulo,BR,2018-03-22,1.6,20.9,24.3
sao paulo,BR,2018-03-23,0.6,16.3,27.9
sao paulo,BR,2018-03-24,1.7,14.4,28.2
sao paulo,BR,2018-03-25,0.0,14.3,27.6
sao paulo,BR,2018-03-26,1.7,15.1,27.4
sao paulo,BR,2018-03-27,6.7,13.4,25.9
sao paulo,BR,2018-03-28,11.8,13.6,26.8
sao paulo,BR,2018-03-29,2.3,13.3,25.9
sao paulo,BR,2018-03-30,2.7,12.1,26.5
sao paulo,BR,2018-03-31,6.6,11.3,26.5
sao paulo,BR,2018-04-01,6.4,22.4,25.5
sao paulo,BR,2018-04-02,1.3,20.6,24.5
sao paulo,BR,2018-04-03,4.6,18.7,25.1
sao paulo,BR,2018-04-04,0.6,14.7,24.5
sao paulo,BR,2018-04-05,0.5,18.5,25.9
sao paulo,BR,2018-04-06,2.8,17.9,24.0
sao paulo,BR,2018-04-07,0.6,17.2,25.0
sao paulo,BR,2018-04-08,0.2,17.5,24.8
sao paulo,BR,2018-04-09,0.8,18.2,24.7
sao paulo,BR,2018-04-10,0.1,17.1,25.3
sao paulo,BR,2018-04-11,0.0,16.8,25.2
sao paulo,BR,2018-04-12,0.1,13.7,26.1
sao paulo,BR,2018-04-13,0.0,14.8,27.1
sao paulo,BR,2018-04-14,1.5,22.4,24.2
sao paulo,BR,2018-04-15,1.1,24.7,19.7
sao paulo,BR,2018-04-16,0.7,21.2,19.7
sao paulo,BR,2018-04-17,0.4,20.5,21.1
sao paulo,BR,2018-04-18,0.0,16.1,23.2
sao paulo,BR,2018-04-19,0.0,13.2,24.4
sao paulo,BR,2018-04-20,0.0,15.5,23.7
sao paulo,BR,2018-04-21,0.0,19.4,23.8
sao paulo,BR,2018-04-22,0.3,19.4,23.6
sao paulo,BR,2018-04-23,0.2,15.7,24.7
sao paulo,BR,2018-04-24,0.6,17.2,24.3
sao paulo,BR,2018-04-25,0.3,16.4,25.7
sao paulo,BR,2018-04-26,0.0,15.3,26.1
sao paulo,BR,2018-04-27,0.1,16.5,25.9
sao paulo,BR,2018-04-28,1.0,12.7,26.2
sao paulo,BR,2018-04-29,0.1,11.4,26.2
sao paulo,BR,2018-04-30,0.0,12.9,27.8
sao paulo,BR,2018-05-01,0.4,18.2,25.3
sao paulo,BR,2018-05-02,0.7,16.1,24.6
sao paulo,BR,2018-05-03,0.2,12.9,27.2
sao paulo,BR,2018-05-04,0.0,14.8,28.0
sao paulo,BR,2018-05-05,0.0,15.6,26.8
sao paulo,BR,2018-05-06,1.6,19.2,25.1
sao paulo,BR,2018-05-07,1.8,20.1,23.2
sao paulo,BR,2018-05-08,0.6,20.5,21.4
sao paulo,BR,2018-05-09,0.0,16.9,23.6
