source_name,source_group,load_type,adf_pipeline_name,status,window_start,window_end,files_read,started_at,ended_at,duration_sec,error_message
za_refunds,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:28:43.6305194,2026-09-06T20:41:15.6556093,94.0,2026-09-06T20:41:16.0000000,2026-09-06T20:41:44.0000000,28,
olist_orders,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:30:36.9073878,2026-09-06T20:43:59.1070930,1.0,2026-09-06T20:43:59.0000000,2026-09-06T20:44:37.0000000,38,
olist_order_items,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:31:26.1674906,2026-09-06T20:45:00.9147896,1.0,2026-09-06T20:45:01.0000000,2026-09-06T20:45:33.0000000,32,
olist_customers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:32:02.8330983,2026-09-06T20:45:56.9722131,1.0,2026-09-06T20:45:57.0000000,2026-09-06T20:46:26.0000000,29,
olist_products,olist,FULL,pl_ingest_files,FAILED,2026-09-06T20:32:41.6376017,2026-09-06T20:46:37.4001184,,2026-09-06T20:46:37.0000000,2026-09-06T20:47:04.0000000,27,"ErrorCode=UserErrorFileNotFound,'Type=Microsoft.DataTransfer.Common.Shared.HybridDeliveryException,Message=ADLS Gen2 operation failed for: Operation returned an invalid status code 'NotFound'. Account: 'stconfluencesa'. FileSystem: 'source'. Path: 'data/raw/nope/olist_products_dataset.csv'. ErrorCode: 'PathNotFound'. Message: 'The specified path does not exist.'. RequestId: '7862d06e-401f-004c-5d40-3e8023000000'. TimeStamp: 'Sun, 06 Sep 2026 20:46:55 GMT'.,Source=Microsoft.DataTransfer.ClientLibrary,''Type=Microsoft.Azure.Storage.Data.Models.ErrorSchemaException,Message=Operation returned an invalid status code 'NotFound',Source=Microsoft.DataTransfer.ClientLibrary,'"
olist_sellers,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T11:10:21.2350605,2026-09-06T20:47:13.6199582,1.0,2026-09-06T20:47:14.0000000,2026-09-06T20:47:37.0000000,23,
olist_order_payments,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:34:05.0117337,2026-09-06T20:47:50.1215902,1.0,2026-09-06T20:47:50.0000000,2026-09-06T20:48:16.0000000,26,
olist_order_reviews,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:34:52.0358983,2026-09-06T20:48:26.8753460,1.0,2026-09-06T20:48:27.0000000,2026-09-06T20:49:02.0000000,35,
olist_geolocation,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:35:42.8200434,2026-09-06T20:49:13.2407808,1.0,2026-09-06T20:49:13.0000000,2026-09-06T20:49:41.0000000,28,
olist_category_xlat,olist,FULL,pl_ingest_files,SUCCEEDED,2026-09-06T20:36:26.1696398,2026-09-06T20:49:56.7359610,1.0,2026-09-06T20:49:57.0000000,2026-09-06T20:50:26.0000000,29,
br_merchant_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T20:37:06.1341096,2026-09-06T20:50:45.3120513,22.0,2026-09-06T20:50:45.0000000,2026-09-06T20:51:18.0000000,33,
za_vendor_snapshot,merchant_master,SNAPSHOT,pl_ingest_files,SUCCEEDED,2026-09-06T20:38:00.2724125,2026-09-06T20:51:40.1649251,22.0,2026-09-06T20:51:40.0000000,2026-09-06T20:52:05.0000000,25,
za_orders,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:38:43.2312919,2026-09-06T20:52:23.7827792,22.0,2026-09-06T20:52:24.0000000,2026-09-06T20:52:52.0000000,28,
za_order_lines,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:39:23.8910704,2026-09-06T20:53:05.3064232,22.0,2026-09-06T20:53:05.0000000,2026-09-06T20:53:31.0000000,26,
za_customers,za_platform,INCREMENTAL,pl_ingest_files,SUCCEEDED,2026-09-06T20:40:26.2906996,2026-09-06T20:53:56.9207239,22.0,2026-09-06T20:53:57.0000000,2026-09-06T20:54:24.0000000,27,
